# claim IDs | working directory | command
C4, C5 | ED_Attempt_06/checks | python w1_dispersion_bounds_check.py  (run 1: B1 ball, B4 ball NOT AS EXPECTED)
C5 (follow-up, not pre-registered) | ED_Attempt_06/checks | python w1_ball_roundoff_diagnostic.py
C12, C13 | ED_Attempt_06/checks | python w2_stuck_states_check.py > w2_stuck_states_check_run1.txt  (run 1: S2 NOT AS EXPECTED)
C13 (follow-up, not pre-registered) | ED_Attempt_06/checks | python w2_grover_sign_diagnostic.py > w2_grover_sign_diagnostic.txt
C49, C50 | ED_Attempt_06/checks | python l1_sectors_check.py > l1_sectors_check_run1.txt  (run 1: all as expected)
E0 (note 11) | ED_Attempt_06/model | python calibrate.py > calibration_run1.log  (writes calibration_run1.txt, .json)
timing (note 11) | ED_Attempt_06/model | python timing_trial.py > timing_trial_run1.log  (writes timing_trial_run1.txt; timing only)
C62 (follow-up, not pre-registered) | ED_Attempt_06/model | python calibration_diagnostic.py > calibration_diagnostic.txt
C63 follow-up (not pre-registered) | ED_Attempt_06/model | python stall_diagnostic.py > stall_diagnostic.txt  (writes stall_diagnostic.json)
E0 run 2 (readings v2, D14) | ED_Attempt_06/model | python calibrate_v2.py > calibration_run2.log  (writes calibration_run2.txt, .json)
M2 timing (note 13) | ED_Attempt_06/model | python m2_timing_trial.py constrained ; python m2_timing_trial.py control  (writes m2_timing_trial_*_run1.txt; timing only)
C73 (follow-up, not pre-registered) | ED_Attempt_06/model | inline script: ring of 30 plus chord 0-2, exact curvatures > m2_ring_diagnostic.txt
M2 budget (D16) | ED_Attempt_06/model | python readings_timing.py > readings_timing_run1.txt  (timing only)
M2 runs (note 13, D16) | ED_Attempt_06/model | python run_m2_plan.py LARGEST  (writes m2_runs/*.json, m2_plan_progress.log); python m2_analyze.py LARGEST > m2_verdict.txt
Reduced M2 runs (D17) | ED_Attempt_06/model | python run_m2_plan_reduced.py  (writes m2_runs/*.json); python m2_analyze_reduced.py > m2_verdict_reduced.txt
C77 (follow-up, not pre-registered) | ED_Attempt_06/model | python m2_kap02_diagnostic.py > m2_kap02_diagnostic.txt  (readings off; structure and timing only)
Strong-sync M2 (D20) | ED_Attempt_06/model | python run_m2_plan_k30.py ; python m2_analyze_k30.py > m2_verdict_k30.txt
