id,statement,inputs,type,class,precision_or_status,source
R01,Gauge anomalies cancel within each generation; this fixes the hypercharge ratios of a generation,T03;T01,theorem,boundary,exact (given the gauge group and fermion content),anomaly cancellation and charge quantization literature (search listing; C20)
R02,Koide: (m_e + m_mu + m_tau) / (sqrt m_e + sqrt m_mu + sqrt m_tau)^2 = 2/3,S06;S07;S08,empirical-unexplained,relation,computed in check,Koide (1981); C3
R03,Gatto-Sartori-Tonin: sin(theta_C) ~ sqrt(m_d / m_s),S15;S20;S21,empirical-unexplained,relation,computed in check,Gatto Sartori Tonin (1968) (search listing; C23)
R04,Quark-lepton complementarity: theta_12(PMNS) + theta_C ~ 45 degrees,N04;S15,empirical-unexplained,relation,computed in check,Minakata and Smirnov (2004) (search listing; C24)
R05,Top Yukawa coupling ~ 1: sqrt2 m_t / v ~ 1,S14;S04,empirical-unexplained,relation,computed in check (pole mass; scheme dependent),C18; C14
R06,The Higgs vacuum sits near the edge of stability (metastable) for the measured top and Higgs masses,S14;S05;S01,empirical-unexplained,boundary,near-critical,Buttazzo et al. (2013) (search listing; C25)
R07,The three gauge couplings nearly but do not exactly meet at one energy in the Standard Model,S01;S02;S03,empirical-unexplained,gradient,near miss,Amaldi de Boer Furstenau (1991) (search listing; C26)
R08,Exactly three light neutrino species couple to the Z boson,T01,measurement,boundary,2.984 +- 0.008,LEP (search listing; C21)
R09,Stable orbits and atoms require three spatial dimensions (given inverse-power forces),T02,theorem,boundary,under stated assumptions,Ehrenfest (1917) (search listing; C22)
R10,The strong-CP angle is essentially zero,S19,measurement,relation,below 1e-10,neutron EDM (search listing; C19)
R11,The draw probabilities are forced to the amount-squared rule (Gleason; no signalling),E07,theorem,relation,exact given ED's structure (removes an input),note 2; C11 C12
R12,In ED the cosmological constant is set by the birth chance: Lambda l_P^2 = p^2 / 3,E01;C01,ED-internal,boundary,exact (definition),A1-ledger C211
R13,Lambda l_P^2 is about (Planck time / age of the universe)^2,C01,empirical-unexplained,boundary,order of magnitude (and age-dependent),A1-ledger C273
R14,Light bending Mercury and Nordtvedt fix ED's gravity weights,E05;E06,measurement,gradient,forced values (reason free),A1-ledger C196-C208
R15,Handedness cannot be written into mirror-symmetric rules; it must be in the state,E07;E02,theorem,relation,exact,A1-ledger C1-C4
R16,The matter-antimatter asymmetry eta has no Standard Model explanation,C02,empirical-unexplained,boundary,unexplained,A1-ledger C252 C253
